57	633	9275	A Đớt

57	633	9255	A Lưới

57	633	9274	A Ngo

57	633	9276	A Roằng

57	633	9263	Bắc Sơn

57	633	9266	Đông Sơn

57	633	9262	Hồng Bắc

57	633	9261	Hồng Hạ

57	633	9259	Hồng Kim

57	633	9260	Hồng Nam

57	633	9264	Hồng Quảng

57	633	9270	Hồng Thái

57	633	9256	Hồng Thủy

57	633	9269	Hồng Thượng

57	633	9258	Hồng Trung

57	633	9257	Hồng Vân

57	633	9267	Hương Lâm

57	633	9277	Hương Nguyên

57	633	9268	Hương Phong

57	633	9271	Nhâm

57	633	9272	Phú Vinh

57	633	9273	Sơn Thủy

57	641	9198	An Cựu

57	641	9199	An Đông

57	641	9200	An Hòa

57	641	9201	An Tây

57	641	11940	Đúc

57	641	9223	Hương Long

57	641	9202	Hương Sơ

57	641	9203	Kim Long

57	641	9204	Phú Bình

57	641	9205	Phú Cát

57	641	9206	Phú Hậu

57	641	9207	Phú Hiệp

57	641	9208	Phú Hòa

57	641	9209	Phú Hội

57	641	9210	Phú Nhuận

57	641	9211	Phú Thuận

57	641	9213	Phước Vĩnh

57	641	12244	Phường Đúc

57	641	9215	Tây Lộc

57	641	9216	Thuận Hòa

57	641	9217	Thuận Lộc

57	641	12043	Thuận Thành

57	641	12235	Thủy An

57	641	9224	Thủy Biều

57	641	9225	Thủy Xuân

57	641	9219	Trường An

57	641	9220	Vĩnh Ninh

57	641	9221	Vỹ Dạ

57	641	9222	Xuân Phú

57	634	9236	Dương Hòa

57	634	9226	Phú Bài

57	634	9237	Phú Sơn

57	634	9231	Thủy Bằng

57	634	9228	Thủy Châu

57	634	12250	Thuỷ Dương

57	634	9230	Thủy Dương

57	634	9227	Thủy Lương

57	634	9232	Thủy Phù

57	634	9229	Thủy Phương

57	634	9233	Thủy Tân

57	634	9234	Thủy Thanh

57	634	12243	Thuỷ Vân

57	634	9235	Thủy Vân

57	635	9252	Bình Điền

57	635	9251	Bình Thành

57	635	9249	Hải Dương

57	635	9253	Hồng Tiến

57	635	9244	Hương An

57	635	9254	Hương Bình

57	635	9243	Hương Chữ

57	635	9245	Hương Hồ

57	635	9248	Hương Phong

57	635	9246	Hương Toàn

57	635	9250	Hương Thọ

57	635	9242	Hương Vân

57	635	9239	Hương Văn

57	635	9247	Hương Vinh

57	635	9240	Hương Xuân

57	635	9238	Tứ Hạ

57	636	9287	Hương Giang

57	636	9286	Hương Hoà

57	636	9288	Hương Hữu

57	636	9285	Hương Lộc

57	636	9279	Hương Phú

57	636	9280	Hương Sơn

57	636	9278	Khe Tre

57	636	9284	Thượng Lộ

57	636	9282	Thượng Long

57	636	9283	Thượng Nhật

57	636	9281	Thượng Quảng

57	637	9298	Điền Hải

57	637	9296	Điền Hoà

57	637	9289	Điền Hương

57	637	9294	Điền Lộc

57	637	9290	Điền Môn

57	637	9303	Phong An

57	637	9291	Phong Bình

57	637	9292	Phong Chương

57	637	9306	Phong Điền

57	637	9297	Phong Hải

57	637	9301	Phong Hiền

57	637	9295	Phong Hoà

57	637	9299	Phong Mỹ

57	637	9305	Phong Sơn

57	637	9300	Phong Th

57	637	9302	Phong Thu

57	637	9304	Phong Xuân

57	638	9307	Lăng Cô

57	638	9313	Lộc An

57	638	9314	Lộc Bình

57	638	9310	Lộc Bổn

57	638	9325	Lộc Điền

57	638	9312	Lộc Hòa

57	638	9320	Lộc Sơn

57	638	9321	Lộc Tiến

57	638	9315	Lộc Thủy

57	638	9309	Lộc Trì

57	638	9318	Lộc Vĩnh

57	638	9308	Phú Lộc

57	638	9317	Vinh Giang

57	638	9311	Vinh Hải

57	638	9322	Vinh Hiền

57	638	9323	Vinh Hưng

57	638	9319	Vinh Mỹ

57	638	9324	Xuân Lộc

57	639	9173	Phú An

57	639	9179	Phú Diên

57	639	9175	Phú Dương

57	639	9165	Phú Đa

57	639	9177	Phú Hải

57	639	9174	Phú Hồ

57	639	9180	Phú Lương

57	639	9170	Phú Mậu

57	639	9172	Phú Mỹ

57	639	9171	Phú Thanh

57	639	9178	Phú Thuận

57	639	9176	Phú Thượng

57	639	9169	Phú Xuân

57	639	9166	Thuận An

57	639	9183	Vinh An

57	639	9186	Vinh Hà

57	639	9184	Vinh Phú

57	639	9185	Vinh Thái

57	639	9182	Vinh Thanh

57	639	9181	Vinh Xuân

57	640	9188	Quảng An

57	640	9196	Quảng Công

57	640	9194	Quảng Lợi

57	640	9195	Quảng Ngạn

57	640	9197	Quảng Phú

57	640	9190	Quảng Phước

57	640	9193	Quảng Thái

57	640	9189	Quảng Thành

57	640	9191	Quảng Thọ

57	640	9192	Quảng Vinh

57	640	9187	Sịa

